Fri Dec 30 04:14:57 2022    output.dat

         41282251 function calls (40571362 primitive calls) in 85.856 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
6702997/6702994    3.654    0.000    4.706    0.000 {built-in method builtins.isinstance}
253878/253877    2.675    0.000    4.804    0.000 {built-in method builtins.all}
   152321    2.472    0.000    4.642    0.000 d:\Git\Demidov\venv\lib\site-packages\pandas\core\internals\base.py:41(shape)
    50773    2.080    0.000    6.220    0.000 d:\Git\Demidov\venv\lib\site-packages\pandas\core\internals\managers.py:224(_rebuild_blknos_and_blklocs)
101549/101547    2.072    0.000   13.876    0.000 d:\Git\Demidov\venv\lib\site-packages\pandas\core\series.py:315(__init__)
   507704    1.902    0.000    2.130    0.000 d:\Git\Demidov\venv\lib\site-packages\pandas\core\dtypes\common.py:1737(<genexpr>)
   152313    1.886    0.000    3.542    0.000 d:\Git\Demidov\venv\lib\site-packages\pandas\core\generic.py:5435(__finalize__)
    50767    1.872    0.000   82.127    0.002 d:\Git\Demidov\recycle.py:21(curr_conv)
   152308    1.705    0.000   47.150    0.000 d:\Git\Demidov\venv\lib\site-packages\pandas\core\frame.py:3418(__getitem__)
406158/406151    1.589    0.000    9.885    0.000 d:\Git\Demidov\venv\lib\site-packages\pandas\core\generic.py:5473(__getattr__)
   152302    1.530    0.000    3.941    0.000 d:\Git\Demidov\venv\lib\site-packages\pandas\core\array_algos\take.py:111(_take_nd_ndarray)
456946/456932    1.433    0.000    6.882    0.000 d:\Git\Demidov\venv\lib\site-packages\pandas\core\generic.py:5489(__setattr__)
2132641/1472583    1.429    0.000    1.894    0.000 {built-in method builtins.len}
    50767    1.419    0.000    1.419    0.000 {pandas._libs.ops.scalar_compare}
   456963    1.403    0.000    2.170    0.000 d:\Git\Demidov\venv\lib\site-packages\pandas\core\internals\base.py:43(<genexpr>)
   355393    1.314    0.000    3.411    0.000 d:\Git\Demidov\venv\lib\site-packages\pandas\core\dtypes\common.py:160(is_object_dtype)
   152302    1.195    0.000    6.962    0.000 d:\Git\Demidov\venv\lib\site-packages\pandas\core\internals\blocks.py:1121(take_nd)
   203068    1.116    0.000    5.194    0.000 d:\Git\Demidov\venv\lib\site-packages\pandas\core\series.py:928(__getitem__)
    50767    1.093    0.000   22.101    0.000 d:\Git\Demidov\venv\lib\site-packages\pandas\core\series.py:5492(_cmp_method)
   355457    1.041    0.000    1.947    0.000 d:\Git\Demidov\venv\lib\site-packages\pandas\core\dtypes\common.py:1578(_is_dtype_type)
    50767    0.982    0.000   19.399    0.000 d:\Git\Demidov\venv\lib\site-packages\pandas\core\generic.py:3521(take)
   203076    0.940    0.000    0.940    0.000 {method 'reduce' of 'numpy.ufunc' objects}
   203068    0.895    0.000    3.812    0.000 d:\Git\Demidov\venv\lib\site-packages\pandas\core\series.py:1034(_get_value)
   253847    0.873    0.000    1.228    0.000 d:\Git\Demidov\venv\lib\site-packages\pandas\core\indexes\base.py:5695(_maybe_cast_indexer)
   152302    0.864    0.000    1.545    0.000 d:\Git\Demidov\venv\lib\site-packages\pandas\core\array_algos\take.py:517(_take_preprocess_indexer_and_fill_value)
    50770    0.862    0.000    1.895    0.000 d:\Git\Demidov\venv\lib\site-packages\pandas\core\indexes\base.py:4728(equals)
   101541    0.861    0.000   14.331    0.000 d:\Git\Demidov\venv\lib\site-packages\pandas\core\frame.py:3876(_get_item_cache)
    50767    0.847    0.000    4.031    0.000 d:\Git\Demidov\venv\lib\site-packages\pandas\core\ops\array_ops.py:229(comparison_op)
    50775    0.842    0.000    8.282    0.000 d:\Git\Demidov\venv\lib\site-packages\pandas\core\internals\managers.py:977(iget)
   253851    0.841    0.000    5.921    0.000 d:\Git\Demidov\venv\lib\site-packages\pandas\core\series.py:627(name)
   152321    0.823    0.000    1.022    0.000 d:\Git\Demidov\venv\lib\site-packages\pandas\core\generic.py:233(__init__)
    50768    0.793    0.000    2.529    0.000 d:\Git\Demidov\venv\lib\site-packages\pandas\core\apply.py:937(series_generator)
    50767    0.783    0.000    1.610    0.000 d:\Git\Demidov\venv\lib\site-packages\pandas\core\indexers.py:249(maybe_convert_indices)
  1574297    0.760    0.000    1.052    0.000 d:\Git\Demidov\venv\lib\site-packages\pandas\core\dtypes\generic.py:43(_check)
   355371    0.752    0.000    0.885    0.000 d:\Git\Demidov\venv\lib\site-packages\pandas\core\internals\managers.py:1663(dtype)
406176/355405    0.749    0.000    1.197    0.000 {built-in method numpy.asarray}
    50767    0.717    0.000    3.836    0.000 d:\Git\Demidov\venv\lib\site-packages\pandas\core\indexes\range.py:434(take)
    50781    0.690    0.000    1.726    0.000 d:\Git\Demidov\venv\lib\site-packages\pandas\core\construction.py:463(sanitize_array)
    50767    0.685    0.000   16.039    0.000 d:\Git\Demidov\venv\lib\site-packages\pandas\core\internals\managers.py:840(take)
   203075    0.669    0.000    2.877    0.000 d:\Git\Demidov\venv\lib\site-packages\pandas\core\indexes\base.py:4638(_can_hold_identifiers_and_holds_name)
    50767    0.656    0.000    1.560    0.000 d:\Git\Demidov\venv\lib\site-packages\pandas\core\indexes\base.py:950(take)
   253847    0.654    0.000    2.121    0.000 d:\Git\Demidov\venv\lib\site-packages\pandas\core\indexes\base.py:3317(get_loc)
        1    0.635    0.635   85.472   85.472 d:\Git\Demidov\venv\lib\site-packages\pandas\core\apply.py:817(apply_series_generator)
    50767    0.635    0.000    3.054    0.000 d:\Git\Demidov\venv\lib\site-packages\pandas\core\indexers.py:439(check_array_indexer)
   101535    0.629    0.000    0.937    0.000 {built-in method builtins.next}
   152310    0.617    0.000    0.959    0.000 d:\Git\Demidov\venv\lib\site-packages\pandas\core\dtypes\common.py:574(is_dtype_equal)
   355371    0.573    0.000    1.458    0.000 d:\Git\Demidov\venv\lib\site-packages\pandas\core\series.py:562(dtype)
2183718/2183702    0.568    0.000    0.582    0.000 {built-in method builtins.getattr}
    50789    0.565    0.000    2.576    0.000 d:\Git\Demidov\venv\lib\site-packages\pandas\core\internals\blocks.py:1931(new_block)
    50767    0.564    0.000   22.355    0.000 d:\Git\Demidov\venv\lib\site-packages\pandas\core\generic.py:3620(_take_with_is_copy)
   101564    0.563    0.000    1.579    0.000 d:\Git\Demidov\venv\lib\site-packages\pandas\core\internals\blocks.py:1858(maybe_coerce_values)
    50767    0.555    0.000   14.700    0.000 d:\Git\Demidov\venv\lib\site-packages\pandas\core\series.py:2916(_construct_result)
   203075    0.541    0.000    1.628    0.000 {method 'any' of 'numpy.ndarray' objects}
   101536    0.541    0.000    1.058    0.000 d:\Git\Demidov\venv\lib\site-packages\numpy\core\_ufunc_config.py:32(seterr)
   152302    0.531    0.000    4.518    0.000 d:\Git\Demidov\venv\lib\site-packages\pandas\core\array_algos\take.py:54(take_nd)
    50767    0.527    0.000   28.702    0.001 d:\Git\Demidov\venv\lib\site-packages\pandas\core\frame.py:3483(_getitem_bool_array)
   304611    0.519    0.000    0.620    0.000 d:\Git\Demidov\venv\lib\site-packages\pandas\core\internals\managers.py:1674(internal_values)
    50768    0.512    0.000    7.475    0.000 d:\Git\Demidov\venv\lib\site-packages\pandas\core\internals\managers.py:681(<listcomp>)
   304611    0.512    0.000    1.132    0.000 d:\Git\Demidov\venv\lib\site-packages\pandas\core\series.py:674(_values)
   203068    0.511    0.000    1.304    0.000 d:\Git\Demidov\venv\lib\site-packages\pandas\core\indexes\base.py:5174(_get_values_for_loc)
   101549    0.501    0.000    1.071    0.000 d:\Git\Demidov\venv\lib\site-packages\pandas\core\dtypes\common.py:1264(is_bool_dtype)
   304628    0.451    0.000    0.503    0.000 d:\Git\Demidov\venv\lib\site-packages\pandas\core\indexes\base.py:4537(__contains__)
   304620    0.448    0.000    0.637    0.000 d:\Git\Demidov\venv\lib\site-packages\pandas\core\series.py:577(name)
    50767    0.432    0.000    5.106    0.000 d:\Git\Demidov\venv\lib\site-packages\pandas\core\indexing.py:2357(check_bool_indexer)
   203079    0.397    0.000    1.896    0.000 d:\Git\Demidov\venv\lib\site-packages\pandas\core\indexes\base.py:2218(is_object)
   457084    0.392    0.000    0.913    0.000 {built-in method builtins.hasattr}
    50767    0.386    0.000    1.707    0.000 d:\Git\Demidov\venv\lib\site-packages\pandas\core\common.py:100(is_bool_indexer)
    50799    0.386    0.000    0.889    0.000 d:\Git\Demidov\venv\lib\site-packages\pandas\core\internals\blocks.py:1890(get_block_type)
    50775    0.381    0.000    3.620    0.000 d:\Git\Demidov\venv\lib\site-packages\pandas\core\frame.py:3860(_box_col_values)
    50768    0.378    0.000    8.087    0.000 d:\Git\Demidov\venv\lib\site-packages\pandas\core\internals\managers.py:629(reindex_indexer)
    50780    0.370    0.000    0.723    0.000 d:\Git\Demidov\venv\lib\site-packages\pandas\_config\config.py:96(_get_single_key)
   152330    0.364    0.000    0.364    0.000 {built-in method numpy.arange}
   456947    0.354    0.000    0.487    0.000 d:\Git\Demidov\venv\lib\site-packages\pandas\core\dtypes\inference.py:321(is_hashable)
   101536    0.341    0.000    0.358    0.000 d:\Git\Demidov\venv\lib\site-packages\numpy\core\_ufunc_config.py:131(geterr)
   253881    0.325    0.000    0.325    0.000 {built-in method numpy.empty}
   101550    0.318    0.000    0.340    0.000 d:\Git\Demidov\venv\lib\site-packages\pandas\core\series.py:528(_set_axis)
    50780    0.314    0.000    0.388    0.000 d:\Git\Demidov\venv\lib\site-packages\pandas\core\construction.py:673(_try_cast)
   101534    0.308    0.000    0.308    0.000 d:\Git\Demidov\venv\lib\site-packages\pandas\util\_exceptions.py:8(rewrite_exception)
   152302    0.291    0.000    0.291    0.000 d:\Git\Demidov\venv\lib\site-packages\pandas\core\internals\blocks.py:261(make_block_same_class)
    50771    0.290    0.000    3.091    0.000 d:\Git\Demidov\venv\lib\site-packages\pandas\core\internals\managers.py:1569(from_array)
   253852    0.276    0.000    5.080    0.000 d:\Git\Demidov\venv\lib\site-packages\pandas\core\dtypes\common.py:1718(validate_all_hashable)
   152302    0.269    0.000    0.270    0.000 d:\Git\Demidov\venv\lib\site-packages\pandas\core\dtypes\cast.py:464(maybe_promote)
    50767    0.258    0.000   22.997    0.000 d:\Git\Demidov\venv\lib\site-packages\pandas\core\ops\common.py:54(new_method)
    50772    0.257    0.000    0.643    0.000 d:\Git\Demidov\venv\lib\site-packages\pandas\core\frame.py:573(__init__)
    50767    0.251    0.000    0.251    0.000 {pandas._libs.algos.take_2d_axis1_float64_float64}
   203118    0.251    0.000    0.277    0.000 d:\Git\Demidov\venv\lib\site-packages\pandas\core\construction.py:431(ensure_wrapped_if_datetimelike)
   406188    0.245    0.000    0.364    0.000 d:\Git\Demidov\venv\lib\site-packages\pandas\core\dtypes\common.py:1543(get_dtype)
    50799    0.240    0.000    0.392    0.000 d:\Git\Demidov\venv\lib\site-packages\pandas\core\dtypes\common.py:190(is_sparse)
   253847    0.239    0.000    0.239    0.000 {method 'get_loc' of 'pandas._libs.index.IndexEngine' objects}
   101538    0.238    0.000    0.288    0.000 d:\Git\Demidov\venv\lib\site-packages\pandas\core\generic.py:556(_get_axis)
   203110    0.229    0.000    0.350    0.000 d:\Git\Demidov\venv\lib\site-packages\pandas\core\dtypes\common.py:1420(is_extension_array_dtype)
    50767    0.228    0.000    0.228    0.000 {method 'take' of 'numpy.ndarray' objects}
